Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/CRVa5xJO,2024.08.01,-,Danichek2012,Vladimir-1937,0-1,2024.08.01,17:07:08,1714,2176,,,B10,Caro-Kann Defense,180+0,Normal,"1. e4 1... c6 2. Nf3 2... d5 3. exd5 3... cxd5 4. d4 4... Nf6 5. Bb5 5... Bd7 6. Bxd7 6...
Nbxd7 7. O-O 7... e6 8. Nc3 8... Be7 9. Bf4 9... O-O 10. Ne5 10... Rc8 11. Re1 11... a6 12.
a4 12... Bb4 13. Nxd7 13... Qxd7 14. Bd2 14... Qc7 15. h3 15... Rfe8 16.
Re3 16... Qc4 17. Rd3 17... Rc6 18. Rb1 18... Bxc3 19. Rxc3 19... Qxd4 20. Rxc6 20... bxc6 21. Bc3 21... Qxd1 22. Rxd1 22... c5 23. Bxf6 23... gxf6 24. f4 24... Rb8 25.
b3 25... Rb4 26. g3 26... c4 27. Rd4 27... a5 28. bxc4 28... Rxa4 29. f5 29... Rxc4 30. Rxc4 30... dxc4 31. fxe6 31... fxe6 32. Kf1 32... a4 33. Ke1 33... a3 34.
Kd2 34... a2 35. Kc3 35... a1=Q",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:00 3. 0:02:59 3... 0:02:58 4. 0:02:59 4... 0:02:57 5. 0:02:58 5... 0:02:55 6. 0:02:56 6... 0:02:53 7. 0:02:56 7... 0:02:52 8. 0:02:55 8... 0:02:51 9. 0:02:54 9... 0:02:50 10. 0:02:53 10... 0:02:49 11. 0:02:51 11... 0:02:44 12. 0:02:49 12... 0:02:36 13. 0:02:45 13... 0:02:34 14. 0:02:38 14... 0:02:30 15. 0:02:34 15... 0:02:25 16. 0:02:20 16... 0:02:23 17. 0:02:14 17... 0:02:19 18. 0:02:05 18... 0:02:05 19. 0:02:02 19... 0:01:59 20. 0:01:56 20... 0:01:58 21. 0:01:52 21... 0:01:56 22. 0:01:51 22... 0:01:51 23. 0:01:50 23... 0:01:49 24. 0:01:49 24... 0:01:41 25. 0:01:47 25... 0:01:40 26. 0:01:45 26... 0:01:38 27. 0:01:43 27... 0:01:33 28. 0:01:31 28... 0:01:31 29. 0:01:24 29... 0:01:29 30. 0:01:22 30... 0:01:27 31. 0:01:22 31... 0:01:26 32. 0:01:20 32... 0:01:13 33. 0:01:19 33... 0:01:12 34. 0:01:18 34... 0:01:11 35. 0:01:18 35... 0:01:10
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/DY9PocIV,2024.08.01,-,Kikou0031,rcaruanad,1-0,2024.08.01,17:07:08,1601,1618,,,D07,Queen's Gambit Declined: Chigorin Defense,180+0,Normal,"1. d4 1... d5 2. c4 2... Nc6 3. e3 3... Be6 4. cxd5 4... Bxd5 5.
Nc3 5... Be6 6. e4 6... f6 7. d5 7... Bxd5 8. exd5 8... Ne5 9.
Qa4 9... Qd7 10. Bb5 10... c6 11. dxc6 11... bxc6 12. Be2 12... e6 13.
Nf3 13... Nd3 14. Bxd3 14... Qxd3 15. Qxc6 15... Kf7 16. Qxa8 16... Ne7 17. Qe4 17... Qb5 18.
Qe2 18... Qf5 19. O-O 19... Ng6 20. Qe4 20... Qc5 21. Qb7 21... Be7 22.
Ne4 22... Qc2 23. Nd6 23... Kf8 24. Qb8",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:59 3. 0:02:57 3... 0:02:56 4. 0:02:54 4... 0:02:55 5. 0:02:54 5... 0:02:53 6. 0:02:51 6... 0:02:48 7. 0:02:50 7... 0:02:34 8. 0:02:48 8... 0:02:31 9. 0:02:46 9... 0:02:27 10. 0:02:46 10... 0:02:25 11. 0:02:44 11... 0:02:24 12. 0:02:41 12... 0:02:20 13. 0:02:39 13... 0:02:10 14. 0:02:37 14... 0:02:09 15. 0:02:36 15... 0:02:08 16. 0:02:32 16... 0:02:04 17. 0:02:28 17... 0:02:00 18. 0:02:25 18... 0:01:48 19. 0:02:23 19... 0:01:44 20. 0:02:10 20... 0:01:38 21. 0:02:02 21... 0:01:35 22. 0:01:56 22... 0:01:12 23. 0:01:51 23... 0:01:09 24. 0:01:43
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/W073t4qk,2024.08.01,-,Miller_Evgenii,Chakriee,0-1,2024.08.01,17:07:08,2011,2006,,,A09,Réti Opening: Reversed Blumenfeld Gambit,180+0,Normal,"1. Nf3 1... d5 2. e3 2... c5 3. c4 3... d4 4. b4 4... b6 5. Ne5 5... Qc7 6. Nxf7 6... Kxf7 7. Qf3 7... Nf6 8.
Qxa8 8... Bb7 9. Qxa7 9... Nc6 10. Qa4 10... Nxb4 11. Ba3 11... Bc6 12.
Qd1 12... dxe3 13. fxe3 13... Qe5 14. Nc3 14... Ng4 15. Qxg4 15... g6 16. O-O-O 16... Bg7 17. Be2 17... Nxa2 18. Kc2 18... Nxc3 19. Rhf1 19... Bf6 20. Bb2 20... Ba4 21. Kd3 21... Rd8 22.
Qd4 22... Rxd4 23. exd4 23... Qxd4",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:59 3. 0:02:59 3... 0:02:58 4. 0:02:58 4... 0:02:56 5. 0:02:50 5... 0:02:48 6. 0:02:43 6... 0:02:47 7. 0:02:42 7... 0:02:46 8. 0:02:40 8... 0:02:45 9. 0:02:38 9... 0:02:40 10. 0:02:31 10... 0:02:37 11. 0:02:22 11... 0:02:32 12. 0:02:20 12... 0:02:20 13. 0:02:17 13... 0:02:14 14. 0:02:12 14... 0:02:06 15. 0:02:07 15... 0:02:03 16. 0:01:44 16... 0:01:50 17. 0:01:27 17... 0:01:47 18. 0:01:12 18... 0:01:45 19. 0:01:07 19... 0:01:35 20. 0:00:53 20... 0:01:28 21. 0:00:36 21... 0:01:25 22. 0:00:31 22... 0:01:18 23. 0:00:26 23... 0:01:17
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/b0vNj2LB,2024.08.01,-,czm20k,labo58,0-1,2024.08.01,17:07:08,1985,1952,,,C00,French Defense: La Bourdonnais Variation,180+0,Normal,"1. e4 1... e6 2. f4 2... b6 3. Nf3 3... Bb7 4. Nc3 4... g6 5. Bc4 5... Bg7 6. O-O 6...
Bxc3 7. dxc3 7... d6 8. Be3 8... Bxe4 9. Bd4 9... f6 10. Bxe6 10...
Qe7 11. f5 11... gxf5 12. Bxg8 12... Rxg8 13. Qd2 13... Nc6 14. Rae1 14... O-O-O 15. b4 15... Qg7 16. b5 16... Ne5 17.
Rxe4 17... Nxf3 18. Rxf3 18... fxe4 19. Rg3 19... Qf7 20. Re3 20... d5 21. Re2 21... f5 22.
Rf2 22... Rde8 23. Qe3 23... Kb7 24. a3 24... Rg6 25. a4 25... Reg8 26.
g3 26... h5 27. a5 27... h4 28. Be5 28... hxg3 29. hxg3 29... Re6 30.
Bf4 30... Qh5 31. a6 31... Kc8 32. Rd2 32... Rh8 33. Kf1 33... Qh1 34.
Qg1 34... Qf3 35. Rf2 35... Qxc3 36. Bd2 36... Qxc2 37. Bf4 37... Qd3 38.
Kg2 38... e3 39. Qc1 39... Rh7 40. Rc2 40... Qe4 41. Kf1 41... Rh1 42.
Ke2 42... Rxc1 43. Rxc1 43... d4 44. Rxc7 44... Kd8 45. Rxa7 45... d3 46. Kd1 46... e2 47.
Kd2 47... e1=Q",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:00 3. 0:02:57 3... 0:03:00 4. 0:02:56 4... 0:03:00 5. 0:02:55 5... 0:02:59 6. 0:02:54 6... 0:02:58 7. 0:02:53 7... 0:02:58 8. 0:02:51 8... 0:02:57 9. 0:02:48 9... 0:02:52 10. 0:02:45 10... 0:02:51 11. 0:02:40 11... 0:02:48 12. 0:02:37 12... 0:02:46 13. 0:02:31 13... 0:02:43 14. 0:02:30 14... 0:02:38 15. 0:02:27 15... 0:02:35 16. 0:02:23 16... 0:02:27 17. 0:02:12 17... 0:02:23 18. 0:02:07 18... 0:02:20 19. 0:02:06 19... 0:02:18 20. 0:02:00 20... 0:02:16 21. 0:01:50 21... 0:02:15 22. 0:01:49 22... 0:02:10 23. 0:01:47 23... 0:02:09 24. 0:01:45 24... 0:02:06 25. 0:01:43 25... 0:02:05 26. 0:01:42 26... 0:02:00 27. 0:01:37 27... 0:01:59 28. 0:01:35 28... 0:01:55 29. 0:01:34 29... 0:01:39 30. 0:01:32 30... 0:01:35 31. 0:01:23 31... 0:01:32 32. 0:01:19 32... 0:01:20 33. 0:01:14 33... 0:01:16 34. 0:01:12 34... 0:01:14 35. 0:01:09 35... 0:01:12 36. 0:01:02 36... 0:01:05 37. 0:00:52 37... 0:00:59 38. 0:00:50 38... 0:00:53 39. 0:00:46 39... 0:00:32 40. 0:00:28 40... 0:00:27 41. 0:00:21 41... 0:00:26 42. 0:00:21 42... 0:00:26 43. 0:00:19 43... 0:00:24 44. 0:00:17 44... 0:00:23 45. 0:00:14 45... 0:00:22 46. 0:00:13 46... 0:00:21 47. 0:00:11 47... 0:00:16
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/2k4ggqvV,2024.08.01,-,OleksandrHordiienko,Klot_Namida,1-0,2024.08.01,17:07:08,1939,1927,,,A45,Indian Defense,180+0,Normal,"1. d4 1... Nf6 2. e3 2... c5 3. c3 3... cxd4 4. exd4 4... Nc6 5.
Bd3 5... Qb6 6. f4 6... g6 7. Nf3 7... Bg7 8. Nbd2 8... O-O 9.
Nc4 9... Qc7 10. a4 10... d5 11. Nce5 11... Nxe5 12. Nxe5 12... Ne4 13.
Bxe4 13... dxe4 14. Qe2 14... f5 15. O-O 15...
Bd7 16. Be3 16... Bc6 17. g4 17... Kh8 18. gxf5 18... gxf5 19. Qh5 19... Be8 20. Qh3 20... Rg8 21. Kh1 21... Bf6 22.
Rg1 22... Rxg1 23. Rxg1 23... Bxe5 24. fxe5 24... e6 25. Bh6 25... Bf7 26. Qh4 26... Rg8 27.
Qf6",1. 0:03:00 1... 0:03:00 2. 0:02:56 2... 0:02:59 3. 0:02:55 3... 0:02:57 4. 0:02:53 4... 0:02:56 5. 0:02:52 5... 0:02:53 6. 0:02:51 6... 0:02:46 7. 0:02:49 7... 0:02:45 8. 0:02:48 8... 0:02:44 9. 0:02:44 9... 0:02:43 10. 0:02:43 10... 0:02:42 11. 0:02:42 11... 0:02:30 12. 0:02:38 12... 0:02:24 13. 0:02:35 13... 0:02:24 14. 0:02:30 14... 0:02:09 15. 0:02:28 15... 0:02:00 16. 0:02:23 16... 0:01:57 17. 0:01:45 17... 0:01:49 18. 0:01:33 18... 0:01:49 19. 0:01:28 19... 0:01:34 20. 0:01:18 20... 0:01:16 21. 0:01:13 21... 0:01:13 22. 0:01:10 22... 0:01:10 23. 0:01:06 23... 0:01:09 24. 0:00:56 24... 0:01:08 25. 0:00:47 25... 0:00:40 26. 0:00:43 26... 0:00:36 27. 0:00:38
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/zlyIMLpc,2024.08.01,-,Grosschampmaster,Natural_2006,1-0,2024.08.01,17:07:08,1921,1868,,,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",180+0,Time forfeit,"1. e4 1... c5 2. Nf3 2... d6 3. c3 3... Nf6 4. e5 4... dxe5 5. Nxe5 5... e6 6. Bb5 6...
Nbd7 7. Qa4 7... Be7 8. d4 8... cxd4 9. cxd4 9... a6 10. Bxd7 10... Bxd7 11. Nxd7 11... Nxd7 12. Be3 12... O-O 13.
O-O 13... Nb6 14. Qc2 14... Nd5 15. Qe2 15... b5 16. Nd2 16... Rc8 17.
Rac1 17... Nxe3 18. fxe3 18... Qd6 19. a3 19...
h6 20. Ne4 20... Qd5 21. Nd2 21... Bg5 22. Nf3 22... Bf6 23. Qd3 23... Rc4 24. b3 24... Rc6 25. e4 25... Qd7 26.
e5 26... Be7 27. Qe4 27... Rxc1 28. Rxc1 28... Rd8 29. b4 29... g5 30. h3 30... Qd5 31. Qxd5 31... Rxd5 32. Rc6 32... h5 33. Rxa6 33... g4 34.
hxg4 34... hxg4 35. Nh2 35... Rxd4 36. Rb6 36... g3 37. Nf1 37... Rd3 38. Rxb5 38... Rxa3 39. Rb7 39... Bg5 40. Rb8 40... Kg7 41. Rc8 41... Rb3 42. Rc4 42... Kg6 43. Rg4 43... Kf5 44.
Rxg3 44... Rxg3 45. Nxg3 45... Kxe5 46. Kf1 46... Bf4 47. Ne2 47... Be3 48. Ke1 48... f5 49.
Kd1 49... Ke4 50. Kc2 50... Bb6 51. Kc3 51... e5 52. Ng3 52... Kf4 53.
Ne2 53... Ke3 54. Ng3 54... f4 55. Nf5 55... Ke4 56. Nh4 56... Kd5 57.
Kd3 57... Bf2 58. Nf5 58... Bb6 59. Ne7 59... Ke6 60. Ng6 60... Kf5 61.
Nh4 61... Kg4 62. Nf3 62... Kf5 63. Nd2 63... Kg4 64. Ne4 64... Kf5 65.
Nd6 65... Kg4 66. Nc4 66... Bf2 67. Nxe5 67... Kg3 68. Ng6",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:59 3. 0:02:56 3... 0:02:58 4. 0:02:55 4... 0:02:57 5. 0:02:54 5... 0:02:56 6. 0:02:49 6... 0:02:53 7. 0:02:48 7... 0:02:51 8. 0:02:45 8... 0:02:49 9. 0:02:45 9... 0:02:47 10. 0:02:42 10... 0:02:45 11. 0:02:40 11... 0:02:45 12. 0:02:37 12... 0:02:44 13. 0:02:35 13... 0:02:44 14. 0:02:33 14... 0:02:44 15. 0:02:31 15... 0:02:36 16. 0:02:28 16... 0:02:34 17. 0:02:26 17... 0:02:33 18. 0:02:24 18... 0:02:25 19. 0:02:22 19... 0:02:19 20. 0:02:19 20... 0:02:18 21. 0:02:17 21... 0:02:12 22. 0:02:11 22... 0:02:05 23. 0:02:09 23... 0:02:01 24. 0:02:06 24... 0:01:50 25. 0:02:04 25... 0:01:44 26. 0:02:01 26... 0:01:42 27. 0:01:57 27... 0:01:41 28. 0:01:56 28... 0:01:40 29. 0:01:51 29... 0:01:37 30. 0:01:49 30... 0:01:34 31. 0:01:46 31... 0:01:34 32. 0:01:44 32... 0:01:27 33. 0:01:43 33... 0:01:26 34. 0:01:35 34... 0:01:26 35. 0:01:32 35... 0:01:26 36. 0:01:27 36... 0:01:12 37. 0:01:24 37... 0:01:11 38. 0:01:20 38... 0:01:09 39. 0:01:12 39... 0:00:56 40. 0:01:03 40... 0:00:55 41. 0:01:02 41... 0:00:53 42. 0:01:00 42... 0:00:43 43. 0:00:58 43... 0:00:41 44. 0:00:53 44... 0:00:39 45. 0:00:53 45... 0:00:38 46. 0:00:51 46... 0:00:36 47. 0:00:49 47... 0:00:34 48. 0:00:48 48... 0:00:33 49. 0:00:47 49... 0:00:30 50. 0:00:47 50... 0:00:30 51. 0:00:46 51... 0:00:29 52. 0:00:42 52... 0:00:27 53. 0:00:41 53... 0:00:25 54. 0:00:40 54... 0:00:24 55. 0:00:36 55... 0:00:23 56. 0:00:35 56... 0:00:19 57. 0:00:27 57... 0:00:18 58. 0:00:23 58... 0:00:17 59. 0:00:22 59... 0:00:13 60. 0:00:20 60... 0:00:11 61. 0:00:17 61... 0:00:10 62. 0:00:17 62... 0:00:08 63. 0:00:15 63... 0:00:07 64. 0:00:14 64... 0:00:06 65. 0:00:11 65... 0:00:04 66. 0:00:09 66... 0:00:03 67. 0:00:08 67... 0:00:01 68. 0:00:07
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/fpEvMjnC,2024.08.01,-,danial70,GoingDownSouth,0-1,2024.08.01,17:07:08,1423,1869,,,B07,King's Pawn Game: Maróczy Defense,180+0,Normal,"1. e4 1... d6 2. d4 2... e5 3. d5 3... f5 4. exf5 4... Bxf5 5. Nf3 5... Nf6 6. c4 6...
Nbd7 7. Nc3 7... Nc5 8. Bg5 8... h6 9. Bh4 9... g5 10. Bg3 10... Nfe4 11. Nxe4 11... Bxe4 12. Bd3 12... Nxd3 13. Kd2 13... Nf4 14. Ne1 14... Nxg2 15. Nxg2 15... Bxg2 16. Rg1 16... Be4 17.
Qe2 17... Bg6 18. Qe3 18... Be7 19. Rae1 19... O-O 20. Kc3 20... Qd7 21.
Qc1 21... Qa4 22. Kd2 22... Qxa2 23. Qc3 23... Bf6 24. Ra1 24... e4 25.
Qxf6 25... Qxa1 26. Rxa1 26... Rxf6 27. Ke3 27... a6 28. h4 28... gxh4 29. Bxh4 29... Rf7 30.
Rg1 30... Kh7 31. b3 31... a5 32. Rg4 32... a4 33. bxa4 33... Rxa4 34. Rxe4 34... Bxe4 35. Kxe4 35... Rxc4 36. Kd3 36... Rxh4 37. f3 37... Rxf3 38. Ke2 38... Rb3 39.
Kd2 39... Rh2 40. Kc1 40... Rg3 41. Kd1 41... Rg1",1. 0:03:00 1... 0:01:30 2. 0:02:59 2... 0:01:30 3. 0:02:58 3... 0:01:29 4. 0:02:55 4... 0:01:27 5. 0:02:53 5... 0:01:26 6. 0:02:51 6... 0:01:23 7. 0:02:50 7... 0:01:22 8. 0:02:48 8... 0:01:19 9. 0:02:47 9... 0:01:17 10. 0:02:45 10... 0:01:16 11. 0:02:41 11... 0:01:16 12. 0:02:38 12... 0:01:14 13. 0:02:36 13... 0:01:09 14. 0:02:26 14... 0:01:05 15. 0:02:25 15... 0:01:05 16. 0:02:23 16... 0:01:03 17. 0:02:22 17... 0:01:02 18. 0:02:21 18... 0:01:00 19. 0:02:20 19... 0:00:59 20. 0:02:18 20... 0:00:56 21. 0:02:12 21... 0:00:54 22. 0:02:09 22... 0:00:52 23. 0:02:08 23... 0:00:49 24. 0:02:06 24... 0:00:47 25. 0:02:04 25... 0:00:43 26. 0:02:03 26... 0:00:42 27. 0:02:01 27... 0:00:39 28. 0:01:59 28... 0:00:37 29. 0:01:59 29... 0:00:35 30. 0:01:59 30... 0:00:34 31. 0:01:56 31... 0:00:33 32. 0:01:49 32... 0:00:31 33. 0:01:48 33... 0:00:30 34. 0:01:46 34... 0:00:28 35. 0:01:46 35... 0:00:26 36. 0:01:45 36... 0:00:25 37. 0:01:43 37... 0:00:22 38. 0:01:42 38... 0:00:21 39. 0:01:41 39... 0:00:19 40. 0:01:40 40... 0:00:18 41. 0:01:39 41... 0:00:17
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/OYB77lZz,2024.08.01,-,POMAH_1_1_1,SoyGlobal,1-0,2024.08.01,17:07:08,1744,1720,,,C00,French Defense: Knight Variation,180+0,Normal,"1. e4 1... e6 2. Nf3 2... c6 3. d4 3... d5 4. e5 4... c5 5. Be3 5... Nc6 6. c3 6... Qb6 7. Qd2 7... cxd4 8.
cxd4 8... Bb4 9. Nc3 9... Nge7 10. Bd3 10... Nf5 11. Bxf5 11... exf5 12. O-O 12... O-O 13. Rac1 13... g6 14. a3 14...
Be6 15. axb4 15... Nxb4 16. Bh6 16... Rfc8 17.
Qg5 17... Qd8 18. Qg3 18... a5 19. Bg5 19... Qe8 20. Bf6 20... Qf8 21.
Qh4 21... a4 22. Ng5 22... h6 23. Nb5 23... a3 24. bxa3 24... Bd7 25.
Nd6 25... Rxc1 26. Rxc1 26... Nd3 27. Rc3 27... Nb2 28. Ndxf7 28... f4 29. Nxh6 29... Qxh6 30. Qxh6 30... Be6 31. Qg7",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:00 3. 0:02:57 3... 0:03:00 4. 0:02:56 4... 0:02:59 5. 0:02:55 5... 0:02:58 6. 0:02:55 6... 0:02:57 7. 0:02:54 7... 0:02:56 8. 0:02:53 8... 0:02:53 9. 0:02:51 9... 0:02:47 10. 0:02:50 10... 0:02:45 11. 0:02:48 11... 0:02:43 12. 0:02:48 12... 0:02:40 13. 0:02:47 13... 0:02:38 14. 0:02:46 14... 0:02:36 15. 0:02:42 15... 0:02:35 16. 0:02:33 16... 0:02:33 17. 0:02:32 17... 0:02:31 18. 0:02:24 18... 0:02:25 19. 0:02:21 19... 0:02:23 20. 0:02:20 20... 0:02:21 21. 0:02:14 21... 0:02:17 22. 0:02:14 22... 0:02:14 23. 0:01:52 23... 0:02:09 24. 0:01:51 24... 0:02:03 25. 0:01:45 25... 0:01:58 26. 0:01:42 26... 0:01:52 27. 0:01:10 27... 0:01:29 28. 0:00:53 28... 0:01:26 29. 0:00:50 29... 0:01:22 30. 0:00:50 30... 0:01:16 31. 0:00:44
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/X6gMWW1h,2024.08.01,-,Erwin99,knotted_knights,0-1,2024.08.01,17:07:08,1617,1665,,,B41,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",180+0,Normal,"1. e4 1... c5 2. Nf3 2... e6 3. d4 3... cxd4 4. Nxd4 4... a6 5. c4 5... Qc7 6. Nc3 6...
Nc6 7. Nxc6 7... Qxc6 8. Be3 8... Bb4 9. f3 9... b6 10. a3 10... Be7 11. Be2 11... Bc5 12.
Bxc5 12... Qxc5 13. Rc1 13... Nf6 14. Na4 14... Qe3 15. Rc3 15... Qg5 16. O-O 16... b5 17.
f4 17... Qg6 18. f5 18... Qg5 19. cxb5 19... axb5 20. Nc5 20... O-O 21.
fxe6 21... fxe6 22. Rg3 22... Qxc5 23. Kh1 23... Bb7 24. e5 24... Nd5 25. Rgf3 25... Ne3 26.
Rxe3 26... Qxe3 27. Qxd7 27... Qxe2 28. Qxe6 28... Kh8 29. Rxf8 29... Rxf8 30. h3 30... Qxg2",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:02:59 3. 0:03:00 3... 0:02:58 4. 0:02:59 4... 0:02:57 5. 0:02:58 5... 0:02:56 6. 0:02:57 6... 0:02:56 7. 0:02:56 7... 0:02:56 8. 0:02:53 8... 0:02:52 9. 0:02:49 9... 0:02:49 10. 0:02:47 10... 0:02:47 11. 0:02:44 11... 0:02:45 12. 0:02:39 12... 0:02:45 13. 0:02:33 13... 0:02:44 14. 0:02:29 14... 0:02:40 15. 0:02:25 15... 0:02:37 16. 0:02:23 16... 0:02:31 17. 0:02:20 17... 0:02:16 18. 0:02:09 18... 0:02:11 19. 0:02:03 19... 0:02:08 20. 0:02:01 20... 0:02:04 21. 0:01:54 21... 0:01:58 22. 0:01:38 22... 0:01:55 23. 0:01:35 23... 0:01:54 24. 0:01:02 24... 0:01:46 25. 0:00:46 25... 0:01:33 26. 0:00:39 26... 0:01:26 27. 0:00:37 27... 0:01:21 28. 0:00:35 28... 0:01:18 29. 0:00:29 29... 0:01:17 30. 0:00:27 30... 0:01:15
Rated Blitz tournament https://lichess.org/tournament/SFZHrdRA,https://lichess.org/FJjmywKn,2024.08.01,-,The_Biostatistician,zdakch_S,1-0,2024.08.01,17:07:08,1545,1656,,,B06,Modern Defense,180+0,Normal,"1. e4 1... g6 2. b3 2... Bg7 3. Nc3 3... b5 4. Bb2 4... b4 5. Na4 5... Bxb2 6. Rb1 6...
Bg7 7. g3 7... Bb7 8.
f3 8... d5 9. Bg2 9...
dxe4 10. fxe4 10... e5 11. Nf3 11... Bxe4 12. O-O 12... Ne7 13. d3 13...
Bb7 14. Qe2 14... Nd7 15. Rbe1 15... O-O 16. Ng5 16... Bxg2 17. Kxg2 17... Nd5 18. Qf3 18... Nc3 19. Nxf7 19... Rxf7 20. Qxf7 20... Kh8 21. Nxc3 21... bxc3 22. Rf3 22... Qf8 23. Ref1 23... Qxf7 24. Rxf7 24... Kg8 25.
Rxd7 25... Rc8 26. Rff7 26... e4 27. Rxg7 27... Kh8 28. Rxh7 28... Kg8 29. Rdg7 29... Kf8 30. Rf7 30... Kg8 31. Rhg7 31... Kh8 32. dxe4 32... Rd8 33. Rxc7 33... Rd2 34. Kh3 34... Rxc2 35.
Rxg6 35... Rc1 36. Rd6",1. 0:03:00 1... 0:03:00 2. 0:02:57 2... 0:03:00 3. 0:02:56 3... 0:02:58 4. 0:02:55 4... 0:02:57 5. 0:02:54 5... 0:02:57 6. 0:02:49 6... 0:02:55 7. 0:02:45 7... 0:02:52 8. 0:02:43 8... 0:02:48 9. 0:02:43 9... 0:02:47 10. 0:02:42 10... 0:02:45 11. 0:02:42 11... 0:02:42 12. 0:02:39 12... 0:02:40 13. 0:02:38 13... 0:02:35 14. 0:02:37 14... 0:02:33 15. 0:02:35 15... 0:02:27 16. 0:02:26 16... 0:02:27 17. 0:02:24 17... 0:02:11 18. 0:02:20 18... 0:02:07 19. 0:02:10 19... 0:02:01 20. 0:02:08 20... 0:02:00 21. 0:01:52 21... 0:01:59 22. 0:01:45 22... 0:01:55 23. 0:01:41 23... 0:01:53 24. 0:01:38 24... 0:01:51 25. 0:01:37 25... 0:01:46 26. 0:01:34 26... 0:01:39 27. 0:01:32 27... 0:01:37 28. 0:01:31 28... 0:01:37 29. 0:01:28 29... 0:01:36 30. 0:01:23 30... 0:01:35 31. 0:01:21 31... 0:01:33 32. 0:01:20 32... 0:01:29 33. 0:01:17 33... 0:01:26 34. 0:01:14 34... 0:01:25 35. 0:01:10 35... 0:01:21 36. 0:01:03
